departement;categorie;titre;contenu;difficulte;rarete;source;consigne
45 Loiret;histoire;Orléans libérée;En 1429, Jeanne d’Arc rejoint Orléans alors que la ville résiste au siège anglais. Sa présence change le récit autant que la bataille. Pour GeoDoku, le Loiret devient immédiatement un territoire de mémoire nationale, concentré autour d’un épisode très lisible.;2;commune;Ville d'Orléans;moins de 15 secondes sur smartphone
45 Loiret;histoire;Une université de juristes;L’université d’Orléans, fondée au Moyen Âge, attire longtemps des étudiants en droit venus de toute l’Europe. Cette spécialisation donne à la ville un rôle intellectuel moins spectaculaire que Jeanne d’Arc, mais très structurant dans l’histoire urbaine du Loiret. Ce repère aide à mémoriser le département sans multiplier les dates.;4;peu commune;Université d'Orléans;moins de 15 secondes sur smartphone
45 Loiret;histoire;Saint-Benoît-sur-Loire;L’abbaye de Fleury, à Saint-Benoît-sur-Loire, fait du Loiret un département majeur du patrimoine monastique. Le site est lié au culte de saint Benoît et rappelle que la vallée de la Loire fut aussi un axe religieux et savant. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Abbaye de Fleury;moins de 15 secondes sur smartphone
45 Loiret;histoire;Sully et le pouvoir royal;Le château de Sully-sur-Loire garde la mémoire de Maximilien de Béthune, duc de Sully et ministre d’Henri IV. Ce n’est pas seulement une belle silhouette de Loire, mais un lieu qui raconte l’organisation politique et financière du royaume. Ce repère aide à mémoriser le département sans multiplier les dates.;3;commune;Château de Sully-sur-Loire;moins de 15 secondes sur smartphone
45 Loiret;histoire;La faïence de Gien;La faïencerie de Gien naît au XIXe siècle et transforme une ville ligérienne en nom familier des arts de la table. L’anecdote fonctionne bien car elle relie industrie, décoration et identité locale sans passer par un monument attendu. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Faïencerie de Gien;moins de 15 secondes sur smartphone
45 Loiret;histoire;Le canal de Briare;Le canal de Briare relie depuis l’époque moderne les bassins de la Loire et de la Seine. Il rappelle que le Loiret n’est pas seulement un territoire de châteaux ou de forêts, mais aussi un département d’ingénierie et de circulation.;4;rare;Voies navigables de France;moins de 15 secondes sur smartphone
45 Loiret;histoire;Mémoire de Pithiviers;Pendant la Seconde Guerre mondiale, le camp de Pithiviers sert notamment à l’internement de Juifs avant les déportations. Cette mémoire difficile donne au Loiret une profondeur historique sombre, importante à évoquer avec sobriété dans un jeu culturel. Ce repère aide à mémoriser le département sans multiplier les dates.;4;rare;Mémorial de la Shoah;moins de 15 secondes sur smartphone
45 Loiret;histoire;Mariniers de Châteauneuf;Châteauneuf-sur-Loire conserve une forte mémoire de la navigation fluviale. Avant le rail et la route moderne, la Loire transporte marchandises, hommes et nouvelles. Le Loiret se comprend alors comme un corridor vivant, pas seulement comme une carte administrative. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Musée de la Marine de Loire;moins de 15 secondes sur smartphone
45 Loiret;histoire;Montargis et la Chine;Montargis occupe une place inattendue dans l’histoire des liens franco-chinois. Des jeunes Chinois y passent au début du XXe siècle dans le cadre du mouvement travail-études. Cette trace donne au Loiret une ouverture internationale assez surprenante. Ce repère aide à mémoriser le département sans multiplier les dates.;4;rare;Musée Girodet Montargis;moins de 15 secondes sur smartphone
45 Loiret;histoire;Orléans reconstruite;Orléans a connu de lourdes destructions au XXe siècle, notamment pendant la Seconde Guerre mondiale. Une partie de son visage actuel vient donc d’une reconstruction. Cette idée nuance l’image d’une ville uniquement médiévale ou johannique. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Ville d'Orléans;moins de 15 secondes sur smartphone
45 Loiret;géographie;Entre Loire et Beauce;Le Loiret tient dans un contraste simple à lire. Au nord, la Beauce ouvre de grands horizons agricoles. Plus au sud, la Loire et ses forêts imposent une autre ambiance. Le département est un bon terrain pour comprendre les transitions françaises.;2;commune;IGN;moins de 15 secondes sur smartphone
45 Loiret;géographie;La forêt d’Orléans;La forêt d’Orléans est l’un des grands massifs domaniaux français. Elle donne au département une profondeur boisée que l’on oublie parfois derrière Orléans ou les bords de Loire. Pour GeoDoku, elle justifie des tags nature et ruralité. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Office national des forêts;moins de 15 secondes sur smartphone
45 Loiret;géographie;La Sologne au sud;Le sud du Loiret touche la Sologne, avec ses étangs, ses bois et ses sols plus humides. Ce paysage tranche avec la plaine céréalière. L’anecdote aide à lire le département comme une zone de contact plutôt qu’un bloc homogène. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Région Centre-Val de Loire;moins de 15 secondes sur smartphone
45 Loiret;géographie;Loing et Gâtinais;Autour de Montargis, le Loing et le Gâtinais donnent au Loiret une géographie plus douce, faite de vallées, canaux et petites villes. C’est une autre entrée que la Loire, plus discrète mais très utile pour comprendre l’est du département. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Office de tourisme Montargis;moins de 15 secondes sur smartphone
45 Loiret;géographie;Un carrefour d’eau;Avec la Loire, le Loing, les canaux et plusieurs zones humides, le Loiret possède une géographie d’eau plus riche qu’on ne l’imagine. Cette trame explique les circulations anciennes, les ports fluviaux et certains paysages très calmes. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Voies navigables de France;moins de 15 secondes sur smartphone
45 Loiret;gastronomie;Le cotignac d’Orléans;Le cotignac d’Orléans est une pâte de coing ancienne, souvent présentée dans de petites boîtes rondes. C’est une gourmandise modeste mais très identitaire. Elle raconte une ville marchande où les douceurs locales circulaient autant que les grandes histoires. Ce goût local donne une accroche simple au joueur sur smartphone.;3;peu commune;Office de tourisme Orléans;moins de 15 secondes sur smartphone
45 Loiret;gastronomie;Le vinaigre d’Orléans;Le vinaigre d’Orléans doit beaucoup à la circulation des vins sur la Loire. Les vins altérés pouvaient devenir une matière première utile. Cette transformation donne une anecdote gastronomique parfaite, car elle part d’un accident commercial pour créer un savoir-faire. Ce goût local donne une accroche simple au joueur sur smartphone.;3;peu commune;Maison Martin-Pouret;moins de 15 secondes sur smartphone
45 Loiret;gastronomie;Le pithiviers;Le pithiviers est un gâteau feuilleté à la crème d’amande, associé à la ville du même nom. Son nom suffit parfois à faire entrer le Loiret dans la carte gourmande française. C’est une spécialité claire, lisible et facile à mémoriser.;2;commune;Office de tourisme Pithiviers;moins de 15 secondes sur smartphone
45 Loiret;gastronomie;Les praslines de Montargis;Les praslines de Montargis sont des amandes caramélisées dont la réputation remonte à l’époque moderne. La recette paraît simple, mais son ancienneté donne du poids à l’anecdote. Elle associe Montargis à une douceur de voyage et de boutique. Ce goût local donne une accroche simple au joueur sur smartphone.;3;peu commune;Maison Mazet;moins de 15 secondes sur smartphone
45 Loiret;gastronomie;L’andouille de Jargeau;L’andouille de Jargeau donne au Loiret une spécialité plus rustique que les confiseries d’Orléans ou de Montargis. Elle rappelle que la gastronomie départementale ne se limite pas au sucré, mais passe aussi par les foires, boucheries et repas populaires. Ce goût local donne une accroche simple au joueur sur smartphone.;3;peu commune;Confrérie de Jargeau;moins de 15 secondes sur smartphone
45 Loiret;culture;Les fêtes johanniques;Chaque année, Orléans met en scène la mémoire de Jeanne d’Arc avec ses fêtes johanniques. Ce n’est pas seulement une commémoration historique, mais un rituel urbain qui structure l’identité locale. Le passé devient ici calendrier, costumes et rassemblement. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Ville d'Orléans;moins de 15 secondes sur smartphone
45 Loiret;culture;Le musée de la Marine de Loire;À Châteauneuf-sur-Loire, le musée de la Marine de Loire rappelle que le fleuve fut une route culturelle. Les objets de navigation, les métiers et les récits de mariniers montrent une Loire quotidienne, loin de la simple carte postale. C’est un repère culturel facile à retenir pendant une partie.;3;peu commune;Musée de la Marine de Loire;moins de 15 secondes sur smartphone
45 Loiret;culture;Gien côté décor;La faïence de Gien donne au Loiret une culture visuelle très reconnaissable. Assiettes, motifs et couleurs font entrer le département dans les maisons. C’est une forme de patrimoine culturel domestique, moins monumental mais très présent dans la mémoire française. C’est un repère culturel facile à retenir pendant une partie.;3;peu commune;Faïencerie de Gien;moins de 15 secondes sur smartphone
45 Loiret;culture;Montargis et ses ponts;Montargis est souvent surnommée la Venise du Gâtinais à cause de ses canaux et de ses nombreux ponts. Le surnom est touristique, mais efficace. Il crée une image immédiate pour une ville qui pourrait sinon rester discrète. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Office de tourisme Montargis;moins de 15 secondes sur smartphone
45 Loiret;culture;Le théâtre d’Orléans;Orléans possède une vie culturelle importante pour une ville moyenne, entre scène nationale, festivals et patrimoine musical. Cette présence rappelle que le Loiret n’est pas seulement un département historique. Il fonctionne aussi comme un pôle culturel régional actif. C’est un repère culturel facile à retenir pendant une partie.;3;commune;Scène nationale d'Orléans;moins de 15 secondes sur smartphone
45 Loiret;insolite;Un pont-canal spectaculaire;Le pont-canal de Briare permet à un canal de franchir la Loire. L’idée est simple et presque magique sur smartphone, car l’eau passe au-dessus de l’eau. C’est une anecdote d’ingénierie immédiatement compréhensible et très visuelle. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;Voies navigables de France;moins de 15 secondes sur smartphone
45 Loiret;insolite;Yèvre-le-Châtel perché;Yèvre-le-Châtel offre une image inattendue du Loiret, avec ruines, remparts et village perché. On associe rarement ce département à une silhouette médiévale aussi compacte. C’est un bon exemple de patrimoine discret qui gagne à être révélé. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Les Plus Beaux Villages de France;moins de 15 secondes sur smartphone
45 Loiret;insolite;Une ville aux chiens;Montargis entretient une légende autour du chien de Montargis, récit médiéval où un animal aurait désigné un meurtrier. Même si la part de légende est forte, l’histoire montre comment une ville peut conserver une identité narrative très singulière. Ce détail crée une image rapide, utile pour retenir le département.;4;rare;Musée Girodet Montargis;moins de 15 secondes sur smartphone
45 Loiret;insolite;La Loire changeante;Dans le Loiret, la Loire peut paraître très large puis presque basse selon les saisons. Ses bancs de sable bougent et modifient la perception du fleuve. Cette instabilité donne un paysage vivant, plus imprévisible qu’une simple ligne bleue. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Conservatoire d'espaces naturels Centre-Val de Loire;moins de 15 secondes sur smartphone
45 Loiret;insolite;Un sucre devenu diplomate;Les douceurs de Montargis et d’Orléans racontent un Loiret de boutiques anciennes, mais aussi de cadeaux. Une petite confiserie peut devenir souvenir officiel, présent de voyage ou marqueur local. L’anecdote est légère, mais très efficace en découverte mobile. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Offices de tourisme du Loiret;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Fontainebleau des rois;Fontainebleau a accueilli de nombreux souverains français pendant des siècles. Le château n’est pas seulement une résidence spectaculaire, mais une sorte de résumé habité de la monarchie. Pour GeoDoku, il donne à la Seine-et-Marne une puissance patrimoniale immédiate. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Château de Fontainebleau;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;L’adieu de Napoléon;En 1814, Napoléon fait ses adieux à sa garde dans la cour du château de Fontainebleau avant l’exil. L’épisode donne au lieu une force dramatique rare. Une seule scène suffit à transformer le département en décor d’histoire européenne. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Château de Fontainebleau;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Vaux-le-Vicomte et Fouquet;Le château de Vaux-le-Vicomte est lié à Nicolas Fouquet, surintendant des finances de Louis XIV. Sa fête somptueuse de 1661 précède sa disgrâce. L’anecdote montre comment un lieu magnifique peut devenir le symbole d’un excès politique dangereux. Ce repère aide à mémoriser le département sans multiplier les dates.;3;commune;Château de Vaux-le-Vicomte;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Provins et les foires;Provins rappelle la puissance des foires de Champagne au Moyen Âge. Marchands, changeurs et voyageurs y circulaient bien avant nos cartes modernes. La ville donne à la Seine-et-Marne une profondeur commerciale, européenne et médiévale très facile à comprendre. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;UNESCO Provins;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Meaux et Bossuet;Meaux reste associée à Bossuet, évêque, prédicateur et figure intellectuelle du Grand Siècle. Cette mémoire donne au département une entrée plus littéraire et religieuse que les châteaux. Une ville de Brie peut ainsi porter une histoire d’éloquence. Ce repère aide à mémoriser le département sans multiplier les dates.;4;peu commune;Ville de Meaux;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Blandy-les-Tours;Le château de Blandy-les-Tours offre une forteresse médiévale très lisible, avec ses tours et son enceinte. Il rappelle que la Seine-et-Marne ne se limite pas aux palais raffinés. Le département possède aussi une mémoire de défense et de seigneuries locales.;3;peu commune;Château de Blandy-les-Tours;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Champs-sur-Marne;Le château de Champs-sur-Marne raconte une élégance plus domestique que Versailles ou Fontainebleau. Salons, jardins et décors évoquent la sociabilité aristocratique du XVIIIe siècle. L’anecdote donne une nuance au département, entre grand pouvoir et art de vivre. Ce repère aide à mémoriser le département sans multiplier les dates.;4;peu commune;Centre des monuments nationaux;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;La Grande Guerre à Meaux;Le musée de la Grande Guerre de Meaux rappelle la proximité du front de 1914 avec l’Île-de-France. La Seine-et-Marne n’est pas seulement un arrière-pays de Paris. Elle porte aussi une mémoire militaire moderne, très concrète. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Musée de la Grande Guerre;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Moret et les bords du Loing;Moret-sur-Loing conserve une histoire de petite ville fortifiée, posée sur un passage d’eau. Ses portes et ses quais montrent comment les vallées structuraient les circulations. L’histoire locale y devient immédiatement visible dans le paysage. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Office de tourisme Moret Seine et Loing;moins de 15 secondes sur smartphone
77 Seine-et-Marne;histoire;Brie et pouvoir capétien;La Brie seine-et-marnaise a longtemps été un espace agricole stratégique aux portes de Paris. Son rôle historique est moins spectaculaire qu’un château, mais essentiel. Nourrir, relier et protéger la capitale fait aussi partie de la grande histoire territoriale. Ce repère aide à mémoriser le département sans multiplier les dates.;4;peu commune;Archives départementales de Seine-et-Marne;moins de 15 secondes sur smartphone
77 Seine-et-Marne;géographie;Le grand département francilien;La Seine-et-Marne est le plus vaste département d’Île-de-France. Cette taille change tout, car elle associe villes nouvelles, villages, forêts, plateaux agricoles et vallées. Elle casse l’idée d’une région parisienne uniquement dense et urbaine. Ce repère donne une image claire du département en quelques secondes.;2;commune;INSEE;moins de 15 secondes sur smartphone
77 Seine-et-Marne;géographie;La forêt de Fontainebleau;La forêt de Fontainebleau offre un paysage de pins, sables et rochers de grès très différent des plaines voisines. Elle donne au département une image presque sportive et sauvage. C’est une nature francilienne, mais loin des clichés de banlieue. Ce repère donne une image claire du département en quelques secondes.;2;commune;Office national des forêts;moins de 15 secondes sur smartphone
77 Seine-et-Marne;géographie;Le plateau de Brie;Le plateau de Brie explique une grande partie de l’identité agricole du département. Ses terres ouvertes ont nourri Paris et soutenu les fromages locaux. L’anecdote est simple, mais utile, car elle relie paysage, économie et gastronomie. Ce repère donne une image claire du département en quelques secondes.;3;commune;Chambre d'agriculture Île-de-France;moins de 15 secondes sur smartphone
77 Seine-et-Marne;géographie;Marne, Seine et Loing;La Seine-et-Marne est traversée par plusieurs vallées importantes, dont la Marne, la Seine et le Loing. Ces axes donnent au département une géographie de passages. Les villes et les châteaux s’expliquent souvent par ces couloirs naturels. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;IGN;moins de 15 secondes sur smartphone
77 Seine-et-Marne;géographie;Les Morin discrets;Le Grand Morin et le Petit Morin dessinent des vallées plus intimes que la Seine ou la Marne. Ils donnent au département des paysages de villages, moulins et coteaux. C’est une Seine-et-Marne plus douce, moins monumentale, mais très mémorisable. Ce repère donne une image claire du département en quelques secondes.;4;rare;Seine-et-Marne Attractivité;moins de 15 secondes sur smartphone
77 Seine-et-Marne;gastronomie;Le brie de Meaux;Le brie de Meaux est l’un des grands fromages français, avec une pâte souple et une croûte fleurie. Il ancre immédiatement la Seine-et-Marne dans une carte gourmande. Une seule spécialité suffit ici à donner une identité forte. Ce goût local donne une accroche simple au joueur sur smartphone.;1;commune;INAO;moins de 15 secondes sur smartphone
77 Seine-et-Marne;gastronomie;Le brie de Melun;Le brie de Melun est souvent plus corsé que le brie de Meaux. Cette nuance permet de comprendre que la gastronomie départementale n’est pas un bloc unique. Deux fromages proches peuvent raconter deux caractères, deux usages et deux mémoires locales.;3;peu commune;INAO;moins de 15 secondes sur smartphone
77 Seine-et-Marne;gastronomie;La moutarde de Meaux;La moutarde de Meaux, souvent associée à une présentation en pot de grès, donne au département une spécialité vive et reconnaissable. Elle rappelle que les produits de table ne sont pas seulement des accompagnements, mais aussi des signatures territoriales. Ce goût local donne une accroche simple au joueur sur smartphone.;3;peu commune;Maison Pommery;moins de 15 secondes sur smartphone
77 Seine-et-Marne;gastronomie;Les niflettes de Provins;Les niflettes sont de petites pâtisseries feuilletées à la crème, liées à Provins et à la Toussaint. Leur nom intrigue autant que leur forme. C’est une anecdote parfaite pour GeoDoku, car elle associe ville médiévale et gourmandise locale. Ce goût local donne une accroche simple au joueur sur smartphone.;3;rare;Office de tourisme Provins;moins de 15 secondes sur smartphone
77 Seine-et-Marne;gastronomie;Le sucre d’orge de Moret;Le sucre d’orge de Moret est une confiserie ancienne, associée à la ville de Moret-sur-Loing. Son histoire mêle douceur, tradition religieuse et savoir-faire local. Elle donne une entrée légère dans un département souvent dominé par les châteaux. Ce goût local donne une accroche simple au joueur sur smartphone.;4;rare;Office de tourisme Moret Seine et Loing;moins de 15 secondes sur smartphone
77 Seine-et-Marne;culture;Barbizon et les peintres;Barbizon est lié aux peintres paysagistes du XIXe siècle qui viennent travailler près de la forêt de Fontainebleau. Cette école change le regard porté sur la nature. La Seine-et-Marne devient ainsi un laboratoire de peinture en plein air. C’est un repère culturel facile à retenir pendant une partie.;3;commune;Musée des peintres de Barbizon;moins de 15 secondes sur smartphone
77 Seine-et-Marne;culture;Disneyland à Marne-la-Vallée;Disneyland Paris donne à la Seine-et-Marne une visibilité mondiale très contemporaine. Le contraste est fort avec Provins ou Fontainebleau. Le même département peut accueillir un imaginaire médiéval, monarchique et pop, ce qui le rend très polyvalent en jeu. C’est un repère culturel facile à retenir pendant une partie.;1;commune;Disneyland Paris;moins de 15 secondes sur smartphone
